url,image_name,accession_number
http://fm-digital-assets.fieldmuseum.org/2818/680/V0616301F.jpg,V0616301F.jpg,1724500
http://fm-digital-assets.fieldmuseum.org/2819/060/V0616302F.jpg,V0616302F.jpg,1356775
http://fm-digital-assets.fieldmuseum.org/2819/282/V0616303F.jpg,V0616303F.jpg,468229
http://fm-digital-assets.fieldmuseum.org/2819/028/V0616304F.jpg,V0616304F.jpg,1818822
http://fm-digital-assets.fieldmuseum.org/2818/579/V0616305F.jpg,V0616305F.jpg,1724635
http://fm-digital-assets.fieldmuseum.org/2819/017/V0616306F.jpg,V0616306F.jpg,1854930
http://fm-digital-assets.fieldmuseum.org/2818/909/V0616307F.jpg,V0616307F.jpg,2156717
http://fm-digital-assets.fieldmuseum.org/2819/108/V0616308F.jpg,V0616308F.jpg,2215246
http://fm-digital-assets.fieldmuseum.org/2818/886/V0616309F.jpg,V0616309F.jpg,1633039
http://fm-digital-assets.fieldmuseum.org/2818/495/V0616310F.jpg,V0616310F.jpg,1916502
http://fm-digital-assets.fieldmuseum.org/2818/710/V0616311F.jpg,V0616311F.jpg,1010905
http://fm-digital-assets.fieldmuseum.org/2818/873/V0616312F.jpg,V0616312F.jpg,576952
http://fm-digital-assets.fieldmuseum.org/2818/287/V0616313F.jpg,V0616313F.jpg,852870
http://fm-digital-assets.fieldmuseum.org/2818/323/V0616314F.jpg,V0616314F.jpg,1881170
http://fm-digital-assets.fieldmuseum.org/2819/146/V0616315F.jpg,V0616315F.jpg,1791406
http://fm-digital-assets.fieldmuseum.org/2818/967/V0616316F.jpg,V0616316F.jpg,2193850
http://fm-digital-assets.fieldmuseum.org/2818/699/V0616317F.jpg,V0616317F.jpg,2135202
http://fm-digital-assets.fieldmuseum.org/2818/780/V0616318F.jpg,V0616318F.jpg,2189676
http://fm-digital-assets.fieldmuseum.org/2818/490/V0616319F.jpg,V0616319F.jpg,2248487
http://fm-digital-assets.fieldmuseum.org/2818/302/V0616320F.jpg,V0616320F.jpg,1982786
http://fm-digital-assets.fieldmuseum.org/2818/622/V0616321F.jpg,V0616321F.jpg,1854427
http://fm-digital-assets.fieldmuseum.org/2818/976/V0616322F.jpg,V0616322F.jpg,1724699
http://fm-digital-assets.fieldmuseum.org/2819/191/V0616323F.jpg,V0616323F.jpg,<not-found>
